service_id,date,exception_type
1810-Weekday-1-1810-1111100-,20190107,1
1810-Weekday-1-1810-1111100-,20190109,1
1810-Weekday-1-1810-1111100-,20190108,1
1810-Weekday-1-1810-1111100-,20181113,1
1810-Weekday-1-1810-1111100-,20181227,1
1810-Weekday-1-1810-1111100-,20181023,1
1810-Weekday-1-1810-1111100-,20181024,1
1810-Weekday-1-1810-1111100-,20181025,1
1810-Weekday-1-1810-1111100-,20181220,1
1810-Weekday-1-1810-1111100-,20181221,1
1810-Weekday-1-1810-1111100-,20181226,1
1810-Weekday-1-1810-1111100-,20190204,1
1810-Weekday-1-1810-1111100-,20181224,1
1810-Weekday-1-1810-1111100-,20181228,1
1810-Weekday-1-1810-1111100-,20181108,1
1810-Weekday-1-1810-1111100-,20181206,1
1810-Weekday-1-1810-1111100-,20181114,1
1810-Weekday-1-1810-1111100-,20181115,1
1810-Weekday-1-1810-1111100-,20181116,1
1810-Weekday-1-1810-1111100-,20181015,1
1810-Weekday-1-1810-1111100-,20181017,1
1810-Weekday-1-1810-1111100-,20181016,1
1810-Weekday-1-1810-1111100-,20181019,1
1810-Weekday-1-1810-1111100-,20181018,1
1810-Weekday-1-1810-1111100-,20181119,1
1810-Weekday-1-1810-1111100-,20181112,1
1810-Weekday-1-1810-1111100-,20190130,1
1810-Weekday-1-1810-1111100-,20190131,1
1810-Weekday-1-1810-1111100-,20181026,1
1810-Weekday-1-1810-1111100-,20181231,1
1810-Weekday-1-1810-1111100-,20181107,1
1810-Weekday-1-1810-1111100-,20181106,1
1810-Weekday-1-1810-1111100-,20190208,1
1810-Weekday-1-1810-1111100-,20181102,1
1810-Weekday-1-1810-1111100-,20181101,1
1810-Weekday-1-1810-1111100-,20181022,1
1810-Weekday-1-1810-1111100-,20190201,1
1810-Weekday-1-1810-1111100-,20190206,1
1810-Weekday-1-1810-1111100-,20190207,1
1810-Weekday-1-1810-1111100-,20181109,1
1810-Weekday-1-1810-1111100-,20190205,1
1810-Weekday-1-1810-1111100-,20190129,1
1810-Weekday-1-1810-1111100-,20190128,1
1810-Weekday-1-1810-1111100-,20190123,1
1810-Weekday-1-1810-1111100-,20190122,1
