stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
39.788466,50419,-86.142548,50419,,,,16th St & Bellefontaine St,0,
39.781734,10762,-86.044859,10762,,,,10th St & Shadeland Ave,0,
39.780806,10765,-86.040752,10765,,,,Shortridge Rd - 900 N,0,
39.815392,10241,-85.991022,10241,,,,Mitthoefer Rd & Conveyor Dr,0,
39.778223,50410,-86.145146,50410,,,,College Ave & Arch St,0,
39.78832,50417,-86.144668,50417,,,,College Ave & 16th St,0,
39.80971,12216,-86.22244,12216,,,,30th St & Merchants Dr,0,
39.779941,10766,-86.040743,10766,,,,Shortridge Rd - 800 N-USPS,0,
39.779658,10884,-86.187447,10884,,,,10th St & Porto Alegre,0,
39.780868,10885,-86.1918,10885,,,,10th St & White River Pkwy W Dr,0,
39.780836,10886,-86.192893,10886,,,,10th St & Miley Ave,0,
39.80748,52812,-86.218567,52812,,,,Lafayette Rd - 2850 N,0,
39.803098,52815,-86.213994,52815,,,,Lafayette Rd & Roberta Dr,0,
39.804527,52814,-86.215486,52814,,,,Lafayette Rd & Tibbs Ave,0,
39.799553,52817,-86.210243,52817,,,,Lafayette Rd & Kessler Blvd N Dr,0,
39.801233,52816,-86.212004,52816,,,,Lafayette Rd & Groff Ave,0,
39.795403,52819,-86.205833,52819,,,,Lafayette Rd & 21st St,0,
39.797469,52818,-86.208017,52818,,,,Lafayette Rd - 2220 N,0,
39.863995,11575,-86.146094,11575,,,,College Ave & 60th St,0,
39.865691,11574,-86.146145,11574,,,,College Ave & 61st St,0,
39.780806,10888,-86.197023,10888,,,,10th St & Belmont Ave,0,
39.867607,11572,-86.146176,11572,,,,College Ave & 62nd St,0,
39.869136,11571,-86.146208,11571,,,,College Ave & Broad Ripple Ave,0,
39.869765,11570,-86.144766,11570,,,,Broad Ripple Ave & Carrollton Ave,0,
39.775832,50676,-85.97188,50676,,,,Washington St & German Church Rd,0,
39.776075,50675,-85.96727,50675,,,,Washington St & Monroe St,0,
39.775034,50674,-85.962239,50674,,,,Meijer E Washington St,0,
39.776015,50672,-85.964801,50672,,,,Washington St & Hugo St,0,
39.775728,50671,-85.970997,50671,,,,Washington St & German Church Rd,0,
39.775494,50670,-85.975155,50670,,,,Washington St - 10800 E,0,
39.774788,51270,-86.197212,51270,,,,Michigan St & Belmont Ave,0,
39.713511,12356,-86.238591,12356,,,,Mann Rd & Mooresville Rd,0,
39.774741,51273,-86.200801,51273,,,,Michigan St & Tremont St,0,
39.774698,51275,-86.204807,51275,,,,Michigan St & Holmes Ave,0,
39.775538,50679,-85.97934,50679,,,,Washington St - 10600 E,0,
