"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"1400000US18097352300","Census Tract 3523, Marion County, Indiana","907","260","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","33","0","12","10","16","0","12","18","28","90","112","121","73","19","18","206","68","149","127","23","21","69","40","76","52","96","46","7","10","0","12","0","12",
"1400000US18097352400","Census Tract 3524, Marion County, Indiana","1865","274","90","55","0","12","0","12","0","12","0","12","0","12","12","19","0","12","77","73","0","12","31","36","39","46","55","39","162","110","49","63","496","144","228","110","130","96","112","69","113","65","198","111","53","44","20","32","0","12",
"1400000US18097352500","Census Tract 3525, Marion County, Indiana","2306","379","29","32","0","12","0","12","0","12","0","12","9","14","0","12","0","12","0","12","0","12","6","9","16","19","90","68","94","69","31","32","857","327","200","105","92","50","199","83","96","64","436","162","91","46","52","37","8","14",
"1400000US18097352600","Census Tract 3526, Marion County, Indiana","2190","382","81","55","0","12","0","12","0","12","0","12","5","13","0","12","21","31","60","56","19","31","15","21","178","137","125","64","190","90","38","33","490","163","200","145","93","53","224","103","172","97","211","87","61","43","7","12","0","12",
"1400000US18097352700","Census Tract 3527, Marion County, Indiana","1442","294","10","26","0","12","0","12","0","12","0","12","0","12","48","75","0","12","11","28","19","30","43","62","0","12","55","63","68","65","0","12","405","136","34","39","82","67","298","161","45","48","138","76","153","78","28","27","5","10",
"1400000US18097352800","Census Tract 3528, Marion County, Indiana","894","172","2","4","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","19","5","8","88","67","31","32","0","12","309","112","68","100","6","10","192","98","17","20","87","48","62","48","11","15","0","12",
"1400000US18097353300","Census Tract 3533, Marion County, Indiana","1738","275","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","15","0","12","0","12","61","64","12","25","0","12","223","133","33","34","142","74","177","76","173","87","595","160","219","93","74","55","22","18",
"1400000US18097353500","Census Tract 3535, Marion County, Indiana","1340","323","5","8","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","24","60","99","0","12","9","15","237","144","55","44","32","33","112","119","16","17","495","220","134","84","37","37","126","78",
"1400000US18097353600","Census Tract 3536, Marion County, Indiana","1692","360","5","7","0","12","0","12","0","12","0","12","7","11","0","12","0","12","55","52","15","23","34","51","20","24","28","33","71","58","20","23","443","135","22","21","216","184","176","85","150","132","261","105","134","105","28","24","7","12",
"1400000US18097354201","Census Tract 3542.01, Marion County, Indiana","4314","465","26","35","0","12","18","30","0","12","0","12","10","17","0","12","8","14","0","12","0","12","28","22","100","96","125","56","257","124","28","46","384","163","262","122","102","44","336","183","287","162","1392","407","320","130","418","170","213","141",
